data,temp,min_temp,max_temp,humidity,wind_speed
2022-01-02,12,9.7,14.2,77.6,3.9
2022-01-03,11.6,10.8,12.9,84.3,4.2
2022-01-04,8.9,4.7,11.7,87.3,3.7
2022-01-05,4.6,2.4,6.7,72.7,3.3
2022-01-06,4,1.6,7.1,77.2,2.3
2022-01-07,5.7,3,8.3,82,4.5
2022-01-08,6.4,3.2,8.7,86.8,4.6
2022-01-09,5.4,4.6,7.3,87,2.9
2022-01-10,3.7,2.8,4.8,94.5,1.9
2022-01-11,1.7,0.1,3,91.1,2.2
2022-01-12,2.7,-0.1,5.5,87,1.6
2022-01-13,2.9,2.1,3.9,92,2.2
2022-01-14,3.8,1.6,7.2,81.4,1.6
2022-01-15,3,-0.5,7.9,84,1.5
2022-01-16,2,-0.9,5.4,91.7,2.1
2022-01-17,6.1,4.1,7.6,88.3,1.5
2022-01-18,5.4,2.3,9.6,83.8,2.7
2022-01-19,5.8,4.5,6.8,84.6,2.4
2022-01-20,5.3,3.9,7.1,79.4,3.7
2022-01-21,4.4,2.9,5.9,78.8,3.5
2022-01-22,5.5,4.9,6.3,74.5,2.5
2022-01-23,4.3,3.4,4.9,81.6,2.6
2022-01-24,3.5,0.7,7.3,80.3,2
2022-01-25,0.5,-1.2,2,94.8,1.4
2022-01-26,2.3,0.2,3.8,85.3,1.8
2022-01-27,5,2.6,7.6,85.1,2.5
2022-01-28,7,6.3,8.2,88.3,2.1
2022-01-29,8.7,6.3,10.7,88,3.3
2022-01-30,8.5,7,9.9,70.7,2.3
2022-01-31,7.1,4.1,8.5,63.3,5
2022-02-01,7.4,3.1,11,83.1,3.8
2022-02-02,10.3,9,11.4,78.9,3.1
2022-02-03,7.8,7.1,8.9,77.1,2.9
2022-02-04,7.6,5.5,11.3,82.3,3.6
2022-02-05,6.5,2,10.3,72.3,3.1
2022-02-06,9.3,7.4,11.2,81.7,5.9
2022-02-07,7.8,5.6,10,64.8,3.2
2022-02-08,8.6,5.7,11.3,80,2.2
2022-02-09,7.5,3.3,12.5,80.3,1.7
2022-02-10,7.5,5.3,10.3,82.2,3.1
2022-02-11,5.4,3.4,8.7,74.4,2
2022-02-12,4.3,0.7,9.1,65.9,2.6
2022-02-13,7,0.3,14.2,67.3,3.9
2022-02-14,9.4,6.9,12.2,75.8,4.1
2022-02-15,8.1,5,10.5,80.9,4.4
2022-02-16,12.5,9.2,15.6,86.5,5.1
2022-02-17,12.4,11,13.8,62.9,4.9
2022-02-18,10.6,6.8,12.4,72.8,6
2022-02-19,7.4,3.5,10.6,64.4,5.1
2022-02-20,10.9,8.4,13.4,75.6,5.2
2022-02-21,8.7,6.1,11.1,67.6,5.9
2022-02-22,9.3,6.3,12.4,80.9,3.6
2022-02-23,9.5,6.1,11.6,75.1,2
2022-02-24,8.3,4.8,12,70.7,3.5
2022-02-25,6.6,3.5,10.6,65.1,3.4
2022-02-26,6.1,2.6,10.3,65.2,3.1
2022-02-27,5.4,1.4,9.8,55.9,3.3
2022-02-28,6.1,1.1,11.6,53.2,2
2022-03-01,8.2,3.9,13,57.3,1.8
2022-03-02,9.1,6.5,12.8,57.5,1.7
2022-03-03,10,7.5,12.6,76,1.7
2022-03-04,10.2,8.6,12.6,78.8,2
2022-03-05,9.2,7.2,12.1,73.2,2.5
2022-03-06,5.5,2,9.1,62.2,4.2
2022-03-07,3.6,0.2,7.1,54.5,4
2022-03-08,6.2,0.2,13,51.8,2.9
2022-03-09,9.4,3.9,15.6,63.3,2.7
2022-03-10,11,5.6,17.2,58,3.1
2022-03-11,10,7.1,13.1,74.9,3.5
2022-03-12,8.5,6,10.6,83.3,3.6
2022-03-13,9,7,11.7,78.5,3.9
2022-03-14,9.6,4.4,15,71.3,2.5
2022-03-15,10.3,9.5,11.3,87.1,2
2022-03-16,11.4,9,14.5,83.1,2.5
2022-03-17,9,7.3,11.5,72,4.5
2022-03-18,9.9,4.5,15.7,53,4.7
2022-03-19,11.1,6,16.4,45.8,4.1
2022-03-20,8.7,3.9,13.4,49.2,2.7
2022-03-21,12.5,7.1,18.1,60.3,2.3
2022-03-22,13.1,8.3,18.5,47.9,3.1
2022-03-23,12.7,5.4,18.7,41.9,2.1
2022-03-24,14.5,8.5,20.9,37.3,1.9
2022-03-25,14.1,8.2,20,38.8,3.3
2022-03-26,13.9,8.3,19.9,41.2,3.5
2022-03-27,15,9.3,21.5,45.2,2.3
2022-03-28,15.6,9.6,21.8,48.1,1.6
2022-03-29,14.3,12,18.1,55,2.2
2022-03-30,11.1,9,13.5,82,2.1
2022-03-31,6.5,3.7,8.9,74.4,5.3
2022-04-01,2.5,1.4,3.9,79.3,6.4
2022-04-02,4.5,1.5,8.1,54.3,6
2022-04-03,5.5,1.6,9.1,49.8,3.8
2022-04-04,6.6,1.8,10.2,59,3.6
2022-04-05,10.3,8.1,13.1,82.8,3
2022-04-06,10.8,8.4,13.2,70.3,4.1
2022-04-07,12.3,9.8,14.9,69.7,6.1
2022-04-08,6.4,2.2,9.7,85.5,3.4
