스타일,사진,외투,상의,하의
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image001.png,코트,니트,청바지
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image002.png,가디건,긴소매,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image003.png,코트,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image004.png,코트,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image005.png,없음,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image006.png,자켓,없음,원피스
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image007.png,없음,니트,스커트
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image008.png,없음,없음,없음
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image009.png,가디건,긴소매,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image010.png,코트,셔츠,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image011.png,자켓,긴소매,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image012.png,자켓,없음,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image013.png,코트,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image014.png,자켓,긴소매,청바지
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image015.png,없음,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image016.png,코트,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image017.png,패딩,긴소매,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image018.png,가디건,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image019.png,코트,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image020.png,없음,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image021.png,점퍼,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image022.png,코트,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image023.png,자켓,긴소매,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image024.png,자켓,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image025.png,코트,없음,원피스
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image026.png,없음,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image027.png,가디건,긴소매,ㅣ마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image028.png,없음,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image029.png,없음,반소매,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image030.png,없음,반소매,청바지
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image031.png,없음,반소매,반바지
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image032.png,가디건,없음,원피스
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image033.png,없음,반소매,반바지
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image034.png,없음,반소매,반바지
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image035.png,없음,민소매,반바지
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image036.png,없음,니트,치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image037.png,가디건,셔츠,청바지
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image038.png,없음,"민소매,셔츠",치마
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image039.png,가디건,없음,원피스
빈티지,C:/Users/user/python02/빅프로젝트/빈티지작업사진.files/image040.png,가디건,없음,원피스
