스타일,사진,외투,상의,하의
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image001.png,없음,후드,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image002.png,패딩,니트,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image003.png,패딩,맨투맨,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image004.png,코트,없음,원피스
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image005.png,없음,니트,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image006.png,패딩,니트,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image007.png,코트,니트,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image008.png,없음,니트,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image009.png,코트,니트,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image010.png,패딩,니트,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image011.png,없음,니트,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image012.png,패딩,맨투맨,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image013.png,없음,맨투맨,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image014.png,패딩,니트,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image015.png,없음,니트,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image016.png,점퍼,맨투맨,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image017.png,코트,맨투맨,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image018.png,패딩,니트,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image019.png,패딩,맨투맨,청바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image020.png,코트,니트,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image021.png,패딩,니트,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image022.png,패딩,니트,청바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image023.png,없음,후드,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image024.png,없음,후드,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image025.png,코트,니트,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image026.png,없음,니트,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image027.png,없음,맨투맨,청바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image028.png,코트,니트,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image029.png,없음,니트,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image030.png,없음,니트,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image031.png,없음,반소매,반바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image032.png,없음,반소매,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image033.png,없음,민소매,반바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image034.png,없음,민소매,반바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image035.png,없음,민소매,반바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image036.png,없음,민소매,반바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image037.png,없음,반소매,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image038.png,없음,반소매,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image039.png,없음,반소매,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image040.png,없음,니트,반바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image041.png,가디건,민소매,반바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image042.png,가디건,민소매,면바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image043.png,가디건,민소매,청바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image044.png,자켓,반소매,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image045.png,가디건,민소매,반바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image046.png,점퍼,반소매,청바지
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image047.png,점퍼,민소매,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image048.png,자켓,셔츠,치마
캐쥬얼,C:/Users/user/python02/빅프로젝트/캐주얼작업사진.files/image049.png,없음,"셔츠,민소매",청바지
